#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=AUSPASS,http://auspass.edu.au/
YS|MTNG||BH2|-8.2969|125.1025|108.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-11-12T00:00:00|2016-11-22T04:40:58
YS|MTNG||BH2|-8.2969|125.1025|108.0|0.0|0.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-22T04:40:59|2018-07-26T06:18:09
YS|MTNG||BHZ|-8.2969|125.1025|108.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-11-12T00:00:00|2016-11-22T04:40:58
YS|MTNG||BHZ|-8.2969|125.1025|108.0|0.0|0.0|90.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-22T04:40:59|2018-07-26T06:18:09
YS|NAPU||BH1|-9.3939|119.93|217.0|0.0|0.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-20T00:00:00|2016-11-28T01:41:58
YS|NAPU||BH1|-9.3939|119.93|199.0|0.0|90.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-28T01:41:59|2018-12-13T04:46:25
YS|NAPU||BH2|-9.3939|119.93|217.0|0.0|90.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-20T00:00:00|2016-11-28T01:41:58
YS|NAPU||BH2|-9.3939|119.93|199.0|0.0|0.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-28T01:41:59|2018-12-13T04:46:25
YS|NAPU||BHZ|-9.3939|119.93|217.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-20T00:00:00|2016-11-28T01:41:58
YS|NAPU||BHZ|-9.3939|119.93|199.0|0.0|0.0|90.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2017-05-25T00:01:59|2018-12-13T04:46:25
YS|NOMU||BH1|-9.5565|124.5051|361.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-10-09T00:00:00|2016-12-01T22:36:58
YS|NOMU||BH1|-9.5565|124.5051|317.3|0.0|90.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-12-01T22:36:59|2019-05-18T10:57:52
YS|NOMU||BH2|-9.5565|124.5051|361.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-10-09T00:00:00|2016-12-01T22:36:58
YS|NOMU||BH2|-9.5565|124.5051|317.3|0.0|0.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-12-01T22:36:59|2019-05-18T10:57:52
YS|NOMU||BHZ|-9.5565|124.5051|361.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-10-09T00:00:00|2016-12-01T22:36:58
YS|NOMU||BHZ|-9.5565|124.5051|317.3|0.0|0.0|90.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-12-01T22:36:59|2019-05-18T10:57:52
YS|ONIX||BH1|-10.1033|124.4498|159.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-11-20T00:00:00|2016-12-01T08:57:58
YS|ONIX||BH1|-10.1033|124.4498|131.0|0.0|90.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-12-01T08:57:59|2019-01-07T16:43:05
YS|ONIX||BH2|-10.1033|124.4498|159.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-11-20T00:00:00|2016-12-01T08:57:58
YS|ONIX||BH2|-10.1033|124.4498|131.0|0.0|0.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-12-01T08:57:59|2019-01-07T16:43:05
YS|ONIX||BHZ|-10.1033|124.4498|159.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-11-20T00:00:00|2016-12-01T08:57:58
YS|ONIX||BHZ|-10.1033|124.4498|131.0|0.0|0.0|90.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-12-01T08:57:59|2019-01-07T16:43:05
YS|PAGL||BH1|-8.5091|120.4916|938.0|0.0|0.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-11-07T00:00:00|2016-12-31T23:59:59
YS|PAGL||BH2|-8.5091|120.4916|938.0|0.0|90.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-11-07T00:00:00|2016-12-31T23:59:59
YS|PAGL||BHZ|-8.5091|120.4916|938.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-11-07T00:00:00|2016-12-31T23:59:59
YS|PPLA||BH1|-10.6113|123.3805|28.0|0.0|0.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-04T00:00:00|2016-12-31T23:59:59
YS|PPLA||BH2|-10.6113|123.3805|28.0|0.0|90.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-04T00:00:00|2016-12-31T23:59:59
YS|PPLA||BHZ|-10.6113|123.3805|28.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-04T00:00:00|2016-12-31T23:59:59
YS|RENG||BH1|-8.6048|120.0651|491.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-11-17T00:00:00|2016-11-25T03:03:58
YS|RENG||BH1|-8.6048|120.0651|491.0|0.0|90.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-25T03:03:59|2017-04-12T06:03:20
YS|RENG||BH2|-8.6048|120.0651|491.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-11-17T00:00:00|2016-11-25T03:03:58
YS|RENG||BH2|-8.6048|120.0651|491.0|0.0|0.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-25T03:03:59|2017-04-12T06:03:20
YS|RENG||BHZ|-8.6048|120.0651|491.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-11-17T00:00:00|2016-11-25T03:03:58
YS|RENG||BHZ|-8.6048|120.0651|491.0|0.0|0.0|90.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-25T03:03:59|2017-04-12T06:03:20
YS|SARA||BH1|-8.7873|121.1043|682.0|0.0|0.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-11-05T00:00:00|2016-12-31T23:59:59
YS|SARA||BH2|-8.7873|121.1043|682.0|0.0|90.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-11-05T00:00:00|2016-12-31T23:59:59
YS|SARA||BHZ|-8.7873|121.1043|682.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-11-05T00:00:00|2016-12-31T23:59:59
YS|SAVU||BH1|-10.5476|121.8613|120.0|0.0|0.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-14T00:00:00|2016-12-31T23:59:59
YS|SAVU||BH2|-10.5476|121.8613|120.0|0.0|90.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-14T00:00:00|2016-12-31T23:59:59
