#            620082
WCH        11.30       0.50   P
WCH        18.70       0.50   S
XJI        16.60       0.50   P
XJI        27.20       0.50   S
MXI        16.90       0.50   P
MXI        27.90       0.50   S
MEK        26.70       1.00   P
MEK        44.40       1.00   S
EMS        46.30       1.00   S
#              1446
SMI         8.40       0.50   P
SMI        13.70       0.50   S
WMP        17.30       1.00   P
WMP        29.20       1.00   S
JLO        21.40       0.50   P
JLO        34.30       0.50   S
GZA        22.10       0.50   P
GZA        36.50       0.50   S
#              1453
DFU         9.30       0.50   P
DFU        15.30       0.50   S
MEK        21.10       1.00   P
MEK        34.50       1.00   S
XJI        22.90       0.50   P
XJI        38.20       0.50   S
GZA        30.50       0.50   P
GZA        51.50       0.50   S
#              1457
JLO        13.20       0.50   P
JLO        20.80       0.50   S
GZA        24.60       0.50   P
GZA        40.00       0.50   S
SMI        24.70       0.50   P
SMI        40.80       0.50   S
DFU        29.60       0.50   P
DFU        49.80       0.50   S
#              1478
MEK         6.00       1.00   P
MEK        10.00       1.00   S
XJI        14.30       0.50   P
XJI        23.30       0.50   S
WCH        16.10       0.50   P
WCH        26.90       0.50   S
MXI        21.10       0.50   P
MXI        34.50       0.50   S
#              1487
GZA        22.10       0.50   P
GZA        36.70       0.50   S
EMS        49.00       1.00   S
XJI        38.70       0.50   P
XJI        65.10       0.50   S
JLO         7.30       0.50   P
JLO        11.30       0.50   S
SMI        10.40       0.50   P
SMI        16.70       0.50   S
#              1496
JLO        11.80       0.50   P
JLO        19.30       0.50   S
GZA        22.50       0.50   P
GZA        37.90       0.50   S
SMI        23.70       0.50   P
SMI        38.00       0.50   S
DFU        30.10       0.50   P
DFU        49.90       0.50   S
#              1530
EMS        20.50       1.00   S
GZA        15.80       0.50   P
GZA        26.00       0.50   S
YZP        21.30       1.00   P
YZP        34.90       1.00   S
WMP        21.50       1.00   P
WMP        34.80       1.00   S
XJI        23.10       0.50   P
XJI        38.40       0.50   S
#              1550
GZA        44.70       0.50   P
WCH        62.30       0.50   P
MEK        69.90       1.00   P
LBO        18.60       0.50   P
LBO        31.40       0.50   S
SMI        29.40       0.50   P
SMI        49.40       0.50   S
WMP        30.20       1.00   P
WMP        52.00       1.00   S
JLO        30.90       0.50   P
JLO        53.20       0.50   S
#              1585
YZP        23.30       1.00   P
YZP        38.90       1.00   S
MXI        23.60       0.50   P
MXI        38.90       0.50   S
MEK         7.50       1.00   P
MEK        12.40       1.00   S
XJI        11.10       0.50   P
XJI        18.10       0.50   S
WCH        18.30       0.50   P
WCH        30.50       0.50   S
#              1603
MXI         6.90       0.50   P
MXI        11.50       0.50   S
WCH         8.70       0.50   P
WCH        14.50       0.50   S
YZP        21.90       1.00   P
YZP        36.00       1.00   S
MEK        23.50       1.00   P
MEK        38.70       1.00   S
XJI        28.50       0.50   P
XJI        46.90       0.50   S
#              1644
YZP        11.60       1.00   P
YZP        18.40       1.00   S
EMS        31.30       1.00   S
WCH        20.60       0.50   P
WCH        34.20       0.50   S
XJI        21.10       0.50   P
XJI        34.10       0.50   S
GZA        21.80       0.50   P
GZA        35.20       0.50   S
MXI        26.10       0.50   P
MXI        43.00       0.50   S
SMI        29.60       0.50   P
SMI        49.30       0.50   S
MEK        34.20       1.00   P
MEK        57.10       1.00   S
#              1651
JLO        13.20       0.50   P
